"","Study_ID","First_author","Year_published","ES_ID","Common_species","Strain","Strain_notes","Sex","Housing","Notes_housing","Age_EE_exposure","Notes_age_EE_exposure","Age_stress_exposure","Notes_age_stress_exposure","Age_assay","Notes_age_assay","Type_EE_exposure","Type_EE_details","EE_exercise","EE_social","Type_stress_exposure","Type_stress_details","Stress_duration","Notes_stress_duration","Exposure_order","Learning_vs_memory","Type_assay","Type_reinforcement","Response_assay_name","Response_details","Response_unit","Response_percent","Response_notes","Response_direction","Data_location","CC_n","CC_mean","CC_median","CC_SD","CC_SE","CC_25thpercentile","CC_75thpercentile","EC_n","EC_mean","EC_median","EC_SD","EC_SE","EC_25thpercentile","EC_75thpercentile","CS_n","CS_mean","CS_median","CS_SD","CS_SE","CS_25thpercentile","CS_7thpercentile","ES_n","ES_mean","ES_median","ES_SD","ES_SE","ES_25thpercentile","ES_75thoercentile","Original_names","ROB_blinding","Blinding_notes","ROB_randomisation","Randomisation_notes","Contact_author","Date_contacted","Author_response","General_comments","Stats_comments","lnRR_E","lnRRV_E","lnRR_S","lnRRV_S","lnRR_ES","lnRRV_ES","SMD_E","SMDV_E","SMD_S","SMDV_S","SMD_ES","SMDV_ES","lnRR_E2","lnRRV_E2","lnRR_S2","lnRRV_S2","lnRR_ES2","lnRRV_ES2","lnRR_E3","lnRRV_E3","lnRR_S3","lnRRV_S3","lnRR_Ea","lnRR_Sa","lnRR_ESa","lnRR_E2a","lnRR_S2a","lnRR_ES2a","lnRR_E3a","lnRR_S3a","SMD_Ea","SMD_Sa","SMD_ESa"
"31",8,"Mitra",2009,21,"Rat","Wistar",NA,"Male",3,NA,"Adult","10 weeks","Adult","10 weeks","Adult","10 weeks","Combination","objects, food, nesting, cage complexity and size","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Learning","Conditioning","Aversive","context-dependent conditioning","percent of time freezing due to training context","percent","yes",NA,1,"Fig. 2 b",11,14.5,NA,16.18,"4.77",NA,NA,11,19.67,NA,14.82,"4.37",NA,NA,11,18.87,NA,11.97,"3.53",NA,NA,11,27.22,NA,10.17,"3",NA,NA,"CC = control non-enriched, EC = enriched control…",3,NA,3,NA,NA,NA,NA,"Other responses but graphs are unreadable and only test stats and P values presented",NA,0.182683254684264,0.0140894514948536,0.160573450497654,0.0140894514948536,0.0376788571387373,0.0608819035495178,0.478149906158558,1.348359421086,0.420545312696193,1.348359421086,0.174067702315643,0.36623440150863,0.162350486612682,0.0464096627790407,0.140031968720536,0.0419819037488669,0.340061312471955,0.0353868650321732,0.200029343751419,0.0144722407704771,0.177710825859274,0.0188999998006509,0.182683254684264,0.160573450497654,0.0376788571387373,0.162350486612682,0.140031968720536,0.340061312471955,0.200029343751419,0.177710825859274,0.478149906158558,0.420545312696193,0.174067702315643
"32",8,"Mitra",2009,22,"Rat","Wistar",NA,"Male",3,NA,"Adult","10 weeks","Adult","10 weeks","Adult","10 weeks","Combination","objects, food, nesting, cage complexity and size","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Conditioning","Aversive","Renewal of conditioned fear","percent of time freezing","percent","yes",NA,1,"Fig. 4",10,45.57,NA,22.04,"6.97",NA,NA,6,54.81,NA,32.97,"13.46",NA,NA,12,14.27,NA,16.28,"4.7",NA,NA,12,35.35,NA,21.34,"6.16",NA,NA,"CC = control non-enriched, EC = enriched control…",3,NA,3,NA,NA,NA,NA,"Other responses but graphs are unreadable and only test stats and P values presented",NA,0.264647767399136,0.0177691539040336,-0.430206129598911,0.0177691539040336,0.37927272474874,0.0755512100090243,0.702258698543599,2.57416973173408,-1.13084523583067,2.57416973173408,0.644222563309974,0.439497924329335,0.117666274194866,0.0352329180874765,-0.648668877160541,0.0389942012395424,-0.151729878216934,0.0191557813250656,0.496938998943606,0.0403182919215478,-0.269396152411801,0.0365570087694819,0.264647767399136,-0.430206129598911,0.37927272474874,0.117666274194866,-0.648668877160541,-0.151729878216934,0.496938998943606,-0.269396152411801,0.702258698543599,-1.13084523583067,0.644222563309974
"33",9,"Mohammadian",2018,25,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","adolescence","Early postnatal",NA,"Adult",NA,"Combination","objects, wheel, size","Exercise","Non-social","MS",NA,"Chronic",NA,"Enrichment first","Memory","Conditioning","Aversive","Morris water maze","Percent time in correct zone","percent","yes","Only took target zone",1,"Fig. 4a",15,10.05,NA,1.72,"0.44",NA,NA,15,13.64,NA,3.4,"0.87",NA,NA,15,8.22,NA,3.4,"0.87",NA,NA,15,11.1,NA,3.44,"0.88",NA,NA,"CC = NO MS/SE, EC = No MS/EE, CS = MS/SE, ES = MS/EE",3,NA,1,NA,NA,NA,NA,"N calculated from df (61/4)s","N calculated from DF (((1+1)+ 55) +1) /4",0.1574209248861,0.00152886046892841,-0.105886219744855,0.00152886046892841,-0.00391999279370681,0.0064198005088284,1.04051877358632,8.18676155305845,-0.700675561867345,8.18676155305845,-0.135805393659043,0.275688994318213,0.159277400211059,0.00166716022619102,-0.103772369801041,0.00354437560786559,0.0515850376163105,0.00225656459545691,0.155357407417352,0.00475264028263738,-0.107692362594748,0.00287542490096281,0.1574209248861,-0.105886219744855,-0.00391999279370681,0.159277400211059,-0.103772369801041,0.0515850376163105,0.155357407417352,-0.107692362594748,1.04051877358632,-0.700675561867345,-0.135805393659043
"34",9,"Mohammadian",2018,26,"Rat","Wistar",NA,"Female",3,NA,"Adolescent","adolescence","Early postnatal",NA,"Adult",NA,"Combination","objects, wheel, size","Exercise","Non-social","MS",NA,"Chronic",NA,"Enrichment first","Memory","Conditioning","Aversive","Morris water maze","Percent time in correct zone","percent","yes","Only took target zone",1,"Fig. 4b",15,9.6,NA,2.54,"0.65",NA,NA,15,9.95,NA,1.37,"0.35",NA,NA,15,7.15,NA,2.93,"0.75",NA,NA,15,8.7,NA,2.54,"0.65",NA,NA,"CC = NO MS/SE, EC = No MS/EE, CS = MS/SE, ES = MS/EE",3,NA,1,NA,NA,NA,NA,"N calculated from df (61/4)s","N calculated from DF (((1+1)+ 55) +1) /4",0.0574197266960499,0.0014319296864182,-0.10929261061191,0.0014319296864182,0.0823158401973711,0.00603897089101024,0.395882452466788,1.24208853795006,-0.752979638917741,1.24208853795006,0.522186214706398,0.267972690968093,0.0185335707775318,0.00158750705860504,-0.151678381740001,0.0041899250717543,-0.0508289707650982,0.00275855310440652,0.100849410974903,0.0044514638324052,-0.06936254154263,0.00184904581925594,0.0574197266960499,-0.10929261061191,0.0823158401973711,0.0185335707775318,-0.151678381740001,-0.0508289707650982,0.100849410974903,-0.06936254154263,0.395882452466788,-0.752979638917741,0.522186214706398
"35",16,"Dandi",2018,47,"Rat","Wistar",NA,"Mixed",2,"same gender pairs","Adolescent","PND23","Early postnatal",NA,"Adult",NA,"Combination","toys, wheel, tunnel, novelty","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object recognition","Discirimination ratio","percent","yes",NA,1,"Fig. 3",10,66.91,NA,17.17,"5.43",NA,NA,13,78.45,NA,19.61,"5.44",NA,NA,12,75.57,NA,12.92,"3.73",NA,NA,12,76.08,NA,9.39,"2.71",NA,NA,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,NA,1,NA,NA,NA,NA,NA,NA,0.0654632686462183,0.00245507420450357,0.0325176506370733,0.00245507420450357,-0.121756454708127,0.00991793159690131,0.382094728429618,0.943626177172945,0.18984943579947,0.943626177172945,-0.697303874287908,0.345142896584357,0.127392461839443,0.00732292104241035,0.0954191420773614,0.00532412962115015,0.101055149208677,0.0045266343608776,0.0056360071313161,0.00259501055449097,-0.0263373126307656,0.00459380197575117,0.0654632686462183,0.0325176506370733,-0.121756454708127,0.127392461839443,0.0954191420773614,0.101055149208677,0.0056360071313161,-0.0263373126307656,0.382094728429618,0.18984943579947,-0.697303874287908
"36",18,"Gonzales-Pardo",2019,54,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","objects, bedding, wheel","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","Percent time in target quadrant","percent","yes",NA,1,"Raw data",10,33.3,NA,3.86,NA,NA,NA,10,37.2,NA,2.97,NA,NA,NA,10,32.5,NA,1.9,NA,NA,NA,10,39.4,NA,4.14,NA,NA,NA,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,"mention blinding but only for one of the behaviours",1,NA,NA,NA,NA,NA,NA,0.0883152313562879,0.000293680386832546,0.0110450567735617,0.000293680386832546,0.0478551124757641,0.00116412332193828,1.62365353993372,13.2812540886965,0.203190518296299,13.2812540886965,0.8965310069958,0.432953135221741,0.0642681560566495,0.000662598001941263,-0.0139369197618014,0.000555015628662395,0.0981863487706122,0.00083294331546221,0.112123268532414,0.000501525319997013,0.0339181927139626,0.00060910769327588,0.0883152313562879,0.0110450567735617,0.0478551124757641,0.0642681560566495,-0.0139369197618014,0.0981863487706122,0.112123268532414,0.0339181927139626,1.62365353993372,0.203190518296299,0.8965310069958
"37",21,"Lui",2011,62,"Rat","Sprague-Dawley",NA,"Male",3,NA,"Adolescent","PND 22","Prenatal",NA,"Adult",NA,"Combination","objects ,wheel, size","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","Percent time in target quadrant","percent","yes",NA,1,"In text page 436",5,32,NA,4.7,"2.1",NA,NA,5,34.06,NA,7.6,"3.4",NA,NA,5,28.3,NA,3.58,"1.6",NA,NA,5,34.1,NA,4.92,"2.2",NA,NA,"CC = PC/SE, EC = PC/EE, CS = PS/SE, ES = PS/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.0702309111705768,0.00178335907949172,-0.0331361659412258,0.00178335907949172,0.0701078121805667,0.00710405663287679,0.7348763592359,1.55010815840953,-0.346838222481329,1.55010815840953,0.708345347370322,0.813501081584095,0.0357794083664207,0.00471530439003592,-0.0694309184856636,0.00240773547951907,0.0364563020613238,0.00278907498655697,0.105887220546987,0.00238875224284088,0.000676893694903091,0.00469632115335772,0.0702309111705768,-0.0331361659412258,0.0701078121805667,0.0357794083664207,-0.0694309184856636,0.0364563020613238,0.105887220546987,0.000676893694903091,0.7348763592359,-0.346838222481329,0.708345347370322
"38",22,"Molina",2019,67,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 7","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for one day","Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","Ratio of memory assay vs learning assay","percent","yes",NA,1,"Fig. 7a",7,36.67,NA,16.38,"6.19",NA,NA,7,64.29,NA,11.32,"4.28",NA,NA,7,60.48,NA,17.62,"6.66",NA,NA,7,78.57,NA,22.67,"8.57",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.270287655819647,0.00684960807126842,0.225419966372238,0.00684960807126842,-0.156683482254489,0.0270825826456358,1.22855285243618,5.42555453215889,1.02650051911192,5.42555453215889,-0.417739856237645,0.59838110912909,0.357837685870526,0.0120553685181603,0.314633636305177,0.0155958371023875,0.515787839921214,0.0189356466072396,0.201154203616037,0.0150272141274755,0.157950154050687,0.0114867455432482,0.270287655819647,0.225419966372238,-0.156683482254489,0.357837685870526,0.314633636305177,0.515787839921214,0.201154203616037,0.157950154050687,1.22855285243618,1.02650051911192,-0.417739856237645
"39",22,"Molina",2019,68,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 7","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for 5 days","Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","Ratio of memory assay vs learning assay","percent","yes",NA,1,"Fig. 7a",7,23.33,NA,26.46,"10",NA,NA,7,61.43,NA,11.32,"4.28",NA,NA,7,20.48,NA,20.16,"7.62",NA,NA,7,55.24,NA,11.32,"4.28",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.579727417196572,0.0253961202556928,-0.0717721693411151,0.0253961202556928,-0.00146966446856001,0.100443141674796,1.77014121754846,11.109756898081,-0.225156291766101,11.109756898081,-0.131232568314193,0.627382141608285,0.580435966532928,0.057393678712208,-0.0708301164322636,0.0954259122720616,0.508136185632104,0.0576492618263438,0.578966302064368,0.0430494629625878,-0.0722997809008235,0.0050172294027342,0.579727417196572,-0.0717721693411151,-0.00146966446856001,0.580435966532928,-0.0708301164322636,0.508136185632104,0.578966302064368,-0.0722997809008235,1.77014121754846,-0.225156291766101,-0.131232568314193
"40",22,"Molina",2019,69,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND 15","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for one day","Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","Ratio of memory assay vs learning assay","percent","yes",NA,1,"Fig. 7b",7,40.48,NA,3.76,"1.42",NA,NA,7,56.19,NA,6.3,"2.38",NA,NA,7,37.14,NA,15.13,"5.72",NA,NA,7,67.62,NA,25.19,"9.52",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.298583676186697,0.00537609790351785,0.0530424170039544,0.00537609790351785,0.181352144669347,0.0205003524241046,1.46197313307478,7.62363618927081,0.261580087066739,7.62363618927081,0.951493153816798,0.609595811461294,0.206109441841487,0.00124243892914696,-0.0509824767675798,0.00859474018048312,0.336479109743254,0.0115444918019284,0.387461586510834,0.0192579134949576,0.130369667901767,0.0119056122436215,0.298583676186697,0.0530424170039544,0.181352144669347,0.206109441841487,-0.0509824767675798,0.336479109743254,0.387461586510834,0.130369667901767,1.46197313307478,0.261580087066739,0.951493153816798
"41",22,"Molina",2019,70,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal","PND15","Adolescent","PND 28","Combination","objects, wheel, complexity","Exercise","Social","Noise",NA,"Acute","noise for 5 days","Stress first","Memory","Conditioning","Aversive","Inhibitory avoidance","Ratio of memory assay vs learning assay","percent","yes",NA,1,"Fig. 7b",7,45.71,NA,27.73,"10.48",NA,NA,7,53.81,NA,13.86,"5.24",NA,NA,7,50,NA,18.89,"7.14",NA,NA,7,63.33,NA,12.62,"4.77",NA,NA,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,NA,3,"only mentioned that stress treatment was random",NA,NA,NA,NA,NA,0.132246701066096,0.00863767304506021,0.0854799459073916,0.00863767304506021,0.0548845309332383,0.0353018150868705,0.558480738724095,1.23450971719748,0.361289691977115,1.23450971719748,0.278395681119547,0.576998227420104,0.103656940571991,0.0241461955163999,0.0562415350225975,0.0283401268831767,0.214783006527826,0.022967906118296,0.158541471505229,0.0111556195704706,0.111126065955836,0.00696168820369376,0.132246701066096,0.0854799459073916,0.0548845309332383,0.103656940571991,0.0562415350225975,0.214783006527826,0.158541471505229,0.111126065955836,0.558480738724095,0.361289691977115,0.278395681119547
"42",23,"Rule",2020,71,"Rat","Lister hooded rat",NA,"Male",3,NA,"Adolescent","PND 35","Adolescent","PND 25 -27","Adult","On the border (PND 57 - 66)","Combination","Bedding, objects","No exercise","Social","Combination","swim, restraint, elevated platform","Acute",NA,"Stress first","Memory","Conditioning","Aversive","Contextual fear conditioning","percent freezing","percent","yes","context recall",1,"Fig. 2a",12,29.64,NA,19.36,"5.59",NA,NA,12,30.88,NA,17.84,"5.15",NA,NA,12,35.03,NA,16.49,"4.76",NA,NA,12,31.71,NA,16.52,"4.77",NA,NA,"CC = Con CH, EC = Con EE, CS = PPS SH, ES = PPS EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.0181252075333822,0.00832986183234725,0.0556065513813485,0.00832986183234725,-0.0803776068367251,0.0337886775656322,-0.0573126024216489,0.103041739711385,0.17578957093648,0.103041739711385,-0.257101251872258,0.333367549316629,0.0231736750539724,0.0202453277370134,0.0954535002312962,0.0175019933721608,0.0382495684485435,0.0186354748446274,-0.0572039317827527,0.0135433498286187,0.0150758933945712,0.0162866841934714,-0.0181252075333822,0.0556065513813485,-0.0803776068367251,0.0231736750539724,0.0954535002312962,0.0382495684485435,-0.0572039317827527,0.0150758933945712,-0.0573126024216489,0.17578957093648,-0.257101251872258
"43",23,"Rule",2020,72,"Rat","Lister hooded rat",NA,"Male",3,NA,"Adolescent","PND 35","Adolescent","PND 25 -27","Adult","On the border (PND 57 - 66)","Combination","Bedding, objects","No exercise","Social","Combination","swim, restraint, elevated platform","Acute",NA,"Stress first","Memory","Conditioning","Aversive","Contextual fear conditioning","percent freezing","percent","yes","cue recall",1,"Fig. 2b",12,34.67,NA,21.55,"6.22",NA,NA,12,36.64,NA,20.37,"5.88",NA,NA,12,53.97,NA,22.66,"6.54",NA,NA,12,27.48,NA,15.87,"4.58",NA,NA,"CC = Con CH, EC = Con EE, CS = PPS SH, ES = PPS EE",1,NA,3,NA,NA,NA,NA,NA,NA,-0.190877033709141,0.00845327774062901,0.073197611323748,0.00845327774062901,-0.43452692723707,0.0345575821963265,-0.597123158340795,2.22266973069465,0.229577379912383,2.22266973069465,-1.38857415240942,0.337047459023197,0.0321441416601626,0.0195855781762771,0.270486319786308,0.0171009356999484,-0.1318964657906,0.0194238317669736,-0.402382785576908,0.0149720040200494,-0.164040607450762,0.0174566464963781,-0.190877033709141,0.073197611323748,-0.43452692723707,0.0321441416601626,0.270486319786308,-0.1318964657906,-0.402382785576908,-0.164040607450762,-0.597123158340795,0.229577379912383,-1.38857415240942
"44",25,"van der Veen",2015,75,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","shelter, complexity, wheel, ladder","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Appetitive","5-choice task","Accuracy","percent","yes",NA,1,"Table 1",8,94.71,NA,4.02,"1.42",NA,NA,16,92.67,NA,4.16,"1.04",NA,NA,8,94.63,NA,3,"1.06",NA,NA,8,92.87,NA,4.84,"1.21",NA,NA,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,NA,3,NA,NA,NA,NA,NA,NA,-0.0297873353317426,0.000441024829785547,0.000789191955755664,0.000441024829785547,0.00430458269405631,0.001762520833008,-0.476043471205324,1.24246193238607,0.012613328202465,1.24246193238607,0.0684073796247644,0.440332717330965,-0.0319405104587489,0.000799205333747035,-0.00133104531072437,0.000872081581798945,-0.028966973075417,0.0012161030291075,-0.0276359277646926,0.000963315499260967,0.00297353738333195,0.000890439251209058,-0.0297873353317426,0.000789191955755664,0.00430458269405631,-0.0319405104587489,-0.00133104531072437,-0.028966973075417,-0.0276359277646926,0.00297353738333195,-0.476043471205324,0.012613328202465,0.0684073796247644
"45",25,"van der Veen",2015,77,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","shelter, complexity, wheel, ladder","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","5-choice task","percent correct","percent","yes","second bar",1,"Fig. 3a",8,93.78,NA,5.03,"1.78",NA,NA,16,87.26,NA,5.92,"1.48",NA,NA,8,92.89,NA,5.03,"1.78",NA,NA,8,89.93,NA,3.52,"0.88",NA,NA,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,NA,3,NA,NA,NA,NA,NA,NA,-0.0654342411259742,0.000524800798795685,0.00954573755581345,0.000524800798795685,0.0479198496453493,0.0021001740142134,-0.93224048759034,4.45473663351337,0.136045443826245,4.45473663351337,0.673276623265121,0.448363404083783,-0.0895179215378659,0.0011181955348042,-0.0136291236142588,0.00148682334815138,-0.0552271955067755,0.00105398729185355,-0.0415980718925166,0.000981978479409192,0.0342907260310905,0.000613350666062013,-0.0654342411259742,0.00954573755581345,0.0479198496453493,-0.0895179215378659,-0.0136291236142588,-0.0552271955067755,-0.0415980718925166,0.0342907260310905,-0.93224048759034,0.136045443826245,0.673276623265121
"46",25,"van der Veen",2015,78,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","shelter, complexity, wheel, ladder","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","5-choice task","percent correct","percent","yes","second bar",1,"Fig. 3c",8,92.94,NA,5.83,"2.06",NA,NA,16,89.71,NA,7.04,"1.76",NA,NA,8,88.24,NA,7.47,"2.64",NA,NA,8,90.59,NA,4.68,"1.17",NA,NA,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,NA,3,NA,NA,NA,NA,NA,NA,-0.00770726466962252,0.000780450021995881,-0.0263956685220512,0.000780450021995881,0.0761171326492024,0.00313111870025996,-0.0884985634928108,0.148534978701455,-0.30307181469296,0.148534978701455,0.876085097790444,0.437597899946754,-0.0452662390142642,0.00149698024270901,-0.0643170951486471,0.00208270639550525,-0.0334662015137089,0.0014616437882858,0.0308508936349382,0.00163413845755095,0.0118000375005554,0.00104841230475471,-0.00770726466962252,-0.0263956685220512,0.0761171326492024,-0.0452662390142642,-0.0643170951486471,-0.0334662015137089,0.0308508936349382,0.0118000375005554,-0.0884985634928108,-0.30307181469296,0.876085097790444
"47",25,"van der Veen",2015,79,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","shelter, complexity, wheel, ladder","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","5-choice task","percent correct","percent","yes","second bar",1,"Fig. 4a",8,73.14,NA,12.93,"4.57",NA,NA,16,81.71,NA,8,"2",NA,NA,8,80.57,NA,15.36,"5.43",NA,NA,8,82,NA,21.72,"5.43",NA,NA,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,NA,3,NA,NA,NA,NA,NA,NA,0.0551029541892879,0.00369239020649807,0.0418529596390553,0.00369239020649807,-0.0792680487678571,0.0146300711903077,0.341783970072714,0.693456410993331,0.259626765250772,0.693456410993331,-0.47682924091334,0.438960203527483,0.0955881022451899,0.00305153020374644,0.0825953924756811,0.0063193748637361,0.0989154459530139,0.0103120996181838,0.0163200534773328,0.0115785409865613,0.00332734370782405,0.0083106963265716,0.0551029541892879,0.0418529596390553,-0.0792680487678571,0.0955881022451899,0.0825953924756811,0.0989154459530139,0.0163200534773328,0.00332734370782405,0.341783970072714,0.259626765250772,-0.47682924091334
"48",25,"van der Veen",2015,80,"Rat","Wistar",NA,"Male",3,NA,"Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","shelter, complexity, wheel, ladder","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","5-choice task","percent correct","percent","yes","second bar",1,"Fig. 4c",8,89.06,NA,5.71,"2.02",NA,NA,16,92.81,NA,2.28,"0.57",NA,NA,8,91.37,NA,7.33,"2.59",NA,NA,8,92.23,NA,6.92,"1.73",NA,NA,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,NA,3,NA,NA,NA,NA,NA,NA,0.0319304690698324,0.000835491897028904,0.0109591818096524,0.000835491897028904,-0.0395964476711136,0.00333206498087815,0.428620199276504,1.02795137613915,0.147122134515115,1.02795137613915,-0.526702996554132,0.439796440940348,0.0518403137546787,0.000759181683605801,0.031074556387476,0.00200182286970287,0.043318422471041,0.00194522709614743,0.0122438660835651,0.00257288329727234,-0.00852189128363762,0.00133024211117527,0.0319304690698324,0.0109591818096524,-0.0395964476711136,0.0518403137546787,0.031074556387476,0.043318422471041,0.0122438660835651,-0.00852189128363762,0.428620199276504,0.147122134515115,-0.526702996554132
"49",26,"Veena",2009,81,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys/objects - replaced for novelty","No exercise","Social","Restraint","restrained for 6hr/day for 21 days","Chronic",NA,"Stress first","Learning","Conditioning","Appetitive","Radial arm maze","percent of animals to correctly choose the arm with 'bait'","percent","yes","Taken from block 8 - did not take 'stress (no gap)' as this additional treatment wasn't clearly described",1,"Fig. 3 b, block 8",12,90.03,NA,4.05,"1.17",NA,NA,13,89.44,NA,5.3,"1.47",NA,NA,9,68.04,NA,10.53,"3.51",NA,NA,9,86.51,NA,9.69,"3.23",NA,NA,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.0924689126075196,0.000838383725276816,-0.139763954608029,0.000838383725276816,0.216209094657527,0.00368721371577654,1.05846073125033,6.11744242596419,-1.59837002240958,6.11744242596419,2.30832590008523,0.395505831543737,-0.00780991186949129,0.000615903071843056,-0.253279859514426,0.00174930596306848,-0.0448806767263903,0.00180965871939445,0.208399182788036,0.00307131064393348,-0.037070764856899,0.00193790775270806,0.0924689126075196,-0.139763954608029,0.216209094657527,-0.00780991186949129,-0.253279859514426,-0.0448806767263903,0.208399182788036,-0.037070764856899,1.05846073125033,-1.59837002240958,2.30832590008523
"50",26,"Veena",2009,83,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","toys/objects - replaced for novelty","No exercise","Social","Restraint","restrained for 6hr/day for 21 days","Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","Radial arm maze","percent correct choice","percent","yes",NA,1,"Fig. 5a",12,83.39,NA,7.66,"2.21",NA,NA,13,89.4,NA,8.91,"2.47",NA,NA,9,65.87,NA,11.67,"3.89",NA,NA,9,84.45,NA,12.72,"4.24",NA,NA,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.136451365080253,0.00145336854354511,-0.123578017376921,0.00145336854354511,0.133885230068267,0.00611181170946031,1.11679821829429,6.79952530769065,-1.01171679628558,6.79952530769065,0.949683237989874,0.396981402948229,0.0737949497690782,0.0017153029776285,-0.195221795890393,0.00254292573745465,0.0124583839469523,0.0031858610025883,0.207680179837345,0.0043965087318318,-0.0613365658221259,0.00356888597200566,0.136451365080253,-0.123578017376921,0.133885230068267,0.0737949497690782,-0.195221795890393,0.0124583839469523,0.207680179837345,-0.0613365658221259,1.11679821829429,-1.01171679628558,0.949683237989874
